"Source Table: DECENNIALDDHCA2020.T01001"

"UNIVERSE CONSTANTS"
"Population Groups:","African American alone"

"Geographic Area Name","Total"
"District of Columbia","166,213"
"Census Tract 1.02; District of Columbia; District of Columbia","38"
"Census Tract 2.01; District of Columbia; District of Columbia","127"
"Census Tract 2.02; District of Columbia; District of Columbia","82"
"Census Tract 3; District of Columbia; District of Columbia","112"
"Census Tract 5.01; District of Columbia; District of Columbia","117"
"Census Tract 5.02; District of Columbia; District of Columbia","52"
"Census Tract 6; District of Columbia; District of Columbia","115"
"Census Tract 7.02; District of Columbia; District of Columbia","127"
"Census Tract 7.03; District of Columbia; District of Columbia","118"
"Census Tract 7.04; District of Columbia; District of Columbia","109"
"Census Tract 8.02; District of Columbia; District of Columbia","120"
"Census Tract 8.03; District of Columbia; District of Columbia","83"
"Census Tract 8.04; District of Columbia; District of Columbia","59"
"Census Tract 9.02; District of Columbia; District of Columbia","61"
"Census Tract 9.04; District of Columbia; District of Columbia","74"
"Census Tract 10.02; District of Columbia; District of Columbia","150"
"Census Tract 10.03; District of Columbia; District of Columbia","37"
"Census Tract 10.04; District of Columbia; District of Columbia","105"
"Census Tract 11; District of Columbia; District of Columbia","215"
"Census Tract 12; District of Columbia; District of Columbia","215"
"Census Tract 13.01; District of Columbia; District of Columbia","282"
"Census Tract 13.03; District of Columbia; District of Columbia","207"
"Census Tract 13.04; District of Columbia; District of Columbia","123"
"Census Tract 14.01; District of Columbia; District of Columbia","102"
"Census Tract 14.02; District of Columbia; District of Columbia","221"
"Census Tract 15; District of Columbia; District of Columbia","381"
"Census Tract 16; District of Columbia; District of Columbia","1,760"
"Census Tract 17.02; District of Columbia; District of Columbia","831"
"Census Tract 18.03; District of Columbia; District of Columbia","706"
"Census Tract 18.04; District of Columbia; District of Columbia","1,222"
"Census Tract 19.01; District of Columbia; District of Columbia","1,282"
"Census Tract 19.02; District of Columbia; District of Columbia","699"
"Census Tract 20.01; District of Columbia; District of Columbia","597"
"Census Tract 20.02; District of Columbia; District of Columbia","1,054"
"Census Tract 21.01; District of Columbia; District of Columbia","1,456"
"Census Tract 21.02; District of Columbia; District of Columbia","1,685"
"Census Tract 22.01; District of Columbia; District of Columbia","950"
"Census Tract 22.02; District of Columbia; District of Columbia","966"
"Census Tract 23.01; District of Columbia; District of Columbia","878"
"Census Tract 23.02; District of Columbia; District of Columbia","591"
"Census Tract 24; District of Columbia; District of Columbia","847"
"Census Tract 25.01; District of Columbia; District of Columbia","566"
"Census Tract 25.03; District of Columbia; District of Columbia","563"
"Census Tract 25.04; District of Columbia; District of Columbia","460"
"Census Tract 26; District of Columbia; District of Columbia","554"
"Census Tract 27.02; District of Columbia; District of Columbia","293"
"Census Tract 27.03; District of Columbia; District of Columbia","148"
"Census Tract 27.04; District of Columbia; District of Columbia","181"
"Census Tract 28.01; District of Columbia; District of Columbia","716"
"Census Tract 28.02; District of Columbia; District of Columbia","577"
"Census Tract 29; District of Columbia; District of Columbia","476"
"Census Tract 30; District of Columbia; District of Columbia","793"
"Census Tract 31; District of Columbia; District of Columbia","477"
"Census Tract 32; District of Columbia; District of Columbia","999"
"Census Tract 33.01; District of Columbia; District of Columbia","731"
"Census Tract 33.02; District of Columbia; District of Columbia","436"
"Census Tract 34; District of Columbia; District of Columbia","938"
"Census Tract 35; District of Columbia; District of Columbia","721"
"Census Tract 36; District of Columbia; District of Columbia","602"
"Census Tract 37.01; District of Columbia; District of Columbia","311"
"Census Tract 37.02; District of Columbia; District of Columbia","627"
"Census Tract 38.01; District of Columbia; District of Columbia","110"
"Census Tract 38.02; District of Columbia; District of Columbia","371"
"Census Tract 39.01; District of Columbia; District of Columbia","169"
"Census Tract 39.02; District of Columbia; District of Columbia","85"
"Census Tract 40.01; District of Columbia; District of Columbia","58"
"Census Tract 40.02; District of Columbia; District of Columbia","106"
"Census Tract 41; District of Columbia; District of Columbia","61"
"Census Tract 42.01; District of Columbia; District of Columbia","111"
"Census Tract 42.02; District of Columbia; District of Columbia","51"
"Census Tract 43; District of Columbia; District of Columbia","397"
"Census Tract 44.01; District of Columbia; District of Columbia","180"
"Census Tract 44.02; District of Columbia; District of Columbia","279"
"Census Tract 46; District of Columbia; District of Columbia","932"
"Census Tract 47.02; District of Columbia; District of Columbia","423"
"Census Tract 47.03; District of Columbia; District of Columbia","470"
"Census Tract 48.01; District of Columbia; District of Columbia","440"
"Census Tract 48.02; District of Columbia; District of Columbia","963"
"Census Tract 49.01; District of Columbia; District of Columbia","640"
"Census Tract 49.02; District of Columbia; District of Columbia","440"
"Census Tract 50.01; District of Columbia; District of Columbia","112"
"Census Tract 50.03; District of Columbia; District of Columbia","248"
"Census Tract 50.04; District of Columbia; District of Columbia","376"
"Census Tract 52.02; District of Columbia; District of Columbia","189"
"Census Tract 52.03; District of Columbia; District of Columbia","145"
"Census Tract 53.02; District of Columbia; District of Columbia","77"
"Census Tract 53.03; District of Columbia; District of Columbia","150"
"Census Tract 55.01; District of Columbia; District of Columbia","65"
"Census Tract 55.02; District of Columbia; District of Columbia","107"
"Census Tract 55.03; District of Columbia; District of Columbia","26"
"Census Tract 56.01; District of Columbia; District of Columbia","52"
"Census Tract 58.01; District of Columbia; District of Columbia","53"
"Census Tract 58.02; District of Columbia; District of Columbia","185"
"Census Tract 59; District of Columbia; District of Columbia","206"
"Census Tract 64; District of Columbia; District of Columbia","860"
"Census Tract 65; District of Columbia; District of Columbia","73"
"Census Tract 66; District of Columbia; District of Columbia","43"
"Census Tract 67; District of Columbia; District of Columbia","164"
"Census Tract 68.01; District of Columbia; District of Columbia","454"
"Census Tract 68.02; District of Columbia; District of Columbia","443"
"Census Tract 68.04; District of Columbia; District of Columbia","144"
"Census Tract 69; District of Columbia; District of Columbia","323"
"Census Tract 70; District of Columbia; District of Columbia","167"
"Census Tract 71; District of Columbia; District of Columbia","832"
"Census Tract 72.01; District of Columbia; District of Columbia","280"
"Census Tract 72.02; District of Columbia; District of Columbia","276"
"Census Tract 72.03; District of Columbia; District of Columbia","537"
"Census Tract 73.01; District of Columbia; District of Columbia","325"
"Census Tract 73.04; District of Columbia; District of Columbia","2,540"
"Census Tract 74.01; District of Columbia; District of Columbia","729"
"Census Tract 74.03; District of Columbia; District of Columbia","1,517"
"Census Tract 74.04; District of Columbia; District of Columbia","1,862"
"Census Tract 74.07; District of Columbia; District of Columbia","1,763"
"Census Tract 74.08; District of Columbia; District of Columbia","1,764"
"Census Tract 74.09; District of Columbia; District of Columbia","2,082"
"Census Tract 75.02; District of Columbia; District of Columbia","2,513"
"Census Tract 75.03; District of Columbia; District of Columbia","1,335"
"Census Tract 75.04; District of Columbia; District of Columbia","1,479"
"Census Tract 76.01; District of Columbia; District of Columbia","2,363"
"Census Tract 76.03; District of Columbia; District of Columbia","2,410"
"Census Tract 76.04; District of Columbia; District of Columbia","2,090"
"Census Tract 76.05; District of Columbia; District of Columbia","1,892"
"Census Tract 77.03; District of Columbia; District of Columbia","2,967"
"Census Tract 77.07; District of Columbia; District of Columbia","1,967"
"Census Tract 77.08; District of Columbia; District of Columbia","1,491"
"Census Tract 77.09; District of Columbia; District of Columbia","1,185"
"Census Tract 78.03; District of Columbia; District of Columbia","2,619"
"Census Tract 78.04; District of Columbia; District of Columbia","2,155"
"Census Tract 78.06; District of Columbia; District of Columbia","2,265"
"Census Tract 78.07; District of Columbia; District of Columbia","1,147"
"Census Tract 78.08; District of Columbia; District of Columbia","2,011"
"Census Tract 78.09; District of Columbia; District of Columbia","1,593"
"Census Tract 79.01; District of Columbia; District of Columbia","1,512"
"Census Tract 79.03; District of Columbia; District of Columbia","714"
"Census Tract 80.01; District of Columbia; District of Columbia","477"
"Census Tract 80.02; District of Columbia; District of Columbia","421"
"Census Tract 81; District of Columbia; District of Columbia","138"
"Census Tract 82; District of Columbia; District of Columbia","129"
"Census Tract 83.01; District of Columbia; District of Columbia","237"
"Census Tract 83.02; District of Columbia; District of Columbia","210"
"Census Tract 84.02; District of Columbia; District of Columbia","362"
"Census Tract 84.10; District of Columbia; District of Columbia","413"
"Census Tract 87.01; District of Columbia; District of Columbia","805"
"Census Tract 87.02; District of Columbia; District of Columbia","929"
"Census Tract 88.02; District of Columbia; District of Columbia","1,482"
"Census Tract 88.03; District of Columbia; District of Columbia","1,378"
"Census Tract 88.04; District of Columbia; District of Columbia","880"
"Census Tract 89.04; District of Columbia; District of Columbia","1,408"
"Census Tract 90; District of Columbia; District of Columbia","1,971"
"Census Tract 91.02; District of Columbia; District of Columbia","2,023"
"Census Tract 92.01; District of Columbia; District of Columbia","559"
"Census Tract 92.03; District of Columbia; District of Columbia","987"
"Census Tract 92.04; District of Columbia; District of Columbia","908"
"Census Tract 93.01; District of Columbia; District of Columbia","1,258"
"Census Tract 93.02; District of Columbia; District of Columbia","480"
"Census Tract 94; District of Columbia; District of Columbia","1,893"
"Census Tract 95.03; District of Columbia; District of Columbia","1,276"
"Census Tract 95.04; District of Columbia; District of Columbia","931"
"Census Tract 95.05; District of Columbia; District of Columbia","1,373"
"Census Tract 95.07; District of Columbia; District of Columbia","688"
"Census Tract 95.08; District of Columbia; District of Columbia","1,532"
"Census Tract 95.09; District of Columbia; District of Columbia","1,471"
"Census Tract 95.10; District of Columbia; District of Columbia","1,179"
"Census Tract 95.11; District of Columbia; District of Columbia","483"
"Census Tract 96.02; District of Columbia; District of Columbia","2,256"
"Census Tract 96.03; District of Columbia; District of Columbia","2,251"
"Census Tract 96.04; District of Columbia; District of Columbia","1,003"
"Census Tract 97; District of Columbia; District of Columbia","1,825"
"Census Tract 98.01; District of Columbia; District of Columbia","1,073"
"Census Tract 98.02; District of Columbia; District of Columbia","1,232"
"Census Tract 98.03; District of Columbia; District of Columbia","1,701"
"Census Tract 98.04; District of Columbia; District of Columbia","1,393"
"Census Tract 98.07; District of Columbia; District of Columbia","1,784"
"Census Tract 98.10; District of Columbia; District of Columbia","1,410"
"Census Tract 98.11; District of Columbia; District of Columbia","2,621"
"Census Tract 99.01; District of Columbia; District of Columbia","1,350"
"Census Tract 99.02; District of Columbia; District of Columbia","1,537"
"Census Tract 99.03; District of Columbia; District of Columbia","1,144"
"Census Tract 99.04; District of Columbia; District of Columbia","1,603"
